"xx.Token","Exchange","Type","Symbol","Expiry","Strike","OpType","Token","Blank","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
854514,"BSE","OPTION","FOCIT","27-AUG-2026",24000,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""854514 5 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 41 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 7 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 42 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 12 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 25 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 27 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""854514 20 202""))","#RTD(""greekserver.rtdfunctions"",,""854514 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854514 40 202"")","#RTD(""greekserver.rtdfunctions"",,""854514 34 202"")/100"
854418,"BSE","OPTION","FOCIT","27-AUG-2026",24500,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""854418 5 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 41 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 7 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 42 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 12 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 25 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 27 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""854418 20 202""))","#RTD(""greekserver.rtdfunctions"",,""854418 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""854418 40 202"")","#RTD(""greekserver.rtdfunctions"",,""854418 34 202"")/100"
853054,"BSE","OPTION","FOCIT","27-AUG-2026",25000,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""853054 5 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 41 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 7 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 42 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 12 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 25 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 27 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""853054 20 202""))","#RTD(""greekserver.rtdfunctions"",,""853054 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""853054 40 202"")","#RTD(""greekserver.rtdfunctions"",,""853054 34 202"")/100"
850554,"BSE","OPTION","FOCIT","27-AUG-2026",25500,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""850554 5 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 41 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 7 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 42 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 12 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 25 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 27 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""850554 20 202""))","#RTD(""greekserver.rtdfunctions"",,""850554 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""850554 40 202"")","#RTD(""greekserver.rtdfunctions"",,""850554 34 202"")/100"
840833,"BSE","OPTION","FOCIT","27-AUG-2026",26000,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""840833 5 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 41 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 7 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 42 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 12 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 25 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 27 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""840833 20 202""))","#RTD(""greekserver.rtdfunctions"",,""840833 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""840833 40 202"")","#RTD(""greekserver.rtdfunctions"",,""840833 34 202"")/100"
837791,"BSE","OPTION","FOCIT","27-AUG-2026",26500,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""837791 5 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 41 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 7 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 42 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 12 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 25 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 27 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""837791 20 202""))","#RTD(""greekserver.rtdfunctions"",,""837791 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837791 40 202"")","#RTD(""greekserver.rtdfunctions"",,""837791 34 202"")/100"
837279,"BSE","OPTION","FOCIT","27-AUG-2026",27000,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""837279 5 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 41 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 7 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 42 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 12 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 25 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 27 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""837279 20 202""))","#RTD(""greekserver.rtdfunctions"",,""837279 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""837279 40 202"")","#RTD(""greekserver.rtdfunctions"",,""837279 34 202"")/100"
830583,"BSE","OPTION","FOCIT","27-AUG-2026",27500,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""830583 5 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 41 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 7 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 42 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 12 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 25 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 27 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""830583 20 202""))","#RTD(""greekserver.rtdfunctions"",,""830583 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""830583 40 202"")","#RTD(""greekserver.rtdfunctions"",,""830583 34 202"")/100"
827780,"BSE","OPTION","FOCIT","27-AUG-2026",28000,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""827780 5 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 41 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 7 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 42 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 12 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 25 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 27 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""827780 20 202""))","#RTD(""greekserver.rtdfunctions"",,""827780 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""827780 40 202"")","#RTD(""greekserver.rtdfunctions"",,""827780 34 202"")/100"
826805,"BSE","OPTION","FOCIT","27-AUG-2026",28500,"CE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""826805 5 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 41 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 7 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 42 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 12 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 25 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 27 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""826805 20 202""))","#RTD(""greekserver.rtdfunctions"",,""826805 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""826805 40 202"")","#RTD(""greekserver.rtdfunctions"",,""826805 34 202"")/100"
