Token,Symbol,Strike,OptionType
61758,BANKNIFTY,53100,CE
61759,BANKNIFTY,53100,PE
61760,BANKNIFTY,53200,CE
61761,BANKNIFTY,53200,PE
61762,BANKNIFTY,53300,CE
61763,BANKNIFTY,53300,PE
61764,BANKNIFTY,53400,CE
61765,BANKNIFTY,53400,PE
61766,BANKNIFTY,53500,CE
61767,BANKNIFTY,53500,PE
61768,BANKNIFTY,53600,CE
61769,BANKNIFTY,53600,PE
61770,BANKNIFTY,53700,CE
61777,BANKNIFTY,53700,PE
61780,BANKNIFTY,53800,CE
61781,BANKNIFTY,53800,PE
61782,BANKNIFTY,53900,CE
61783,BANKNIFTY,53900,PE
61784,BANKNIFTY,54000,CE
61785,BANKNIFTY,54000,PE
61787,BANKNIFTY,54100,CE
61788,BANKNIFTY,54100,PE
61789,BANKNIFTY,54200,CE
61790,BANKNIFTY,54200,PE
61791,BANKNIFTY,54300,CE
61792,BANKNIFTY,54300,PE
61799,BANKNIFTY,54400,CE
61800,BANKNIFTY,54400,PE
61801,BANKNIFTY,54500,CE
61802,BANKNIFTY,54500,PE
61803,BANKNIFTY,54600,CE
61804,BANKNIFTY,54600,PE
61805,BANKNIFTY,54700,CE
61806,BANKNIFTY,54700,PE
61807,BANKNIFTY,54800,CE
61808,BANKNIFTY,54800,PE
61809,BANKNIFTY,54900,CE
61810,BANKNIFTY,54900,PE
61811,BANKNIFTY,55000,CE
61812,BANKNIFTY,55000,PE
61813,BANKNIFTY,55100,CE
61814,BANKNIFTY,55100,PE
61815,BANKNIFTY,55200,CE
61816,BANKNIFTY,55200,PE
61817,BANKNIFTY,55300,CE
61818,BANKNIFTY,55300,PE
61819,BANKNIFTY,55400,CE
61820,BANKNIFTY,55400,PE
61821,BANKNIFTY,55500,CE
61822,BANKNIFTY,55500,PE
61826,BANKNIFTY,55600,CE
61827,BANKNIFTY,55600,PE
61829,BANKNIFTY,55700,CE
61830,BANKNIFTY,55700,PE
61831,BANKNIFTY,55800,CE
61832,BANKNIFTY,55800,PE
61833,BANKNIFTY,55900,CE
61834,BANKNIFTY,55900,PE
61835,BANKNIFTY,56000,CE
61836,BANKNIFTY,56000,PE
61837,BANKNIFTY,56100,CE
61838,BANKNIFTY,56100,PE
61839,BANKNIFTY,56200,CE
61840,BANKNIFTY,56200,PE
61841,BANKNIFTY,56300,CE
61842,BANKNIFTY,56300,PE
61843,BANKNIFTY,56400,CE
61844,BANKNIFTY,56400,PE
61849,BANKNIFTY,56500,CE
61850,BANKNIFTY,56500,PE
61851,BANKNIFTY,56600,CE
61852,BANKNIFTY,56600,PE
61853,BANKNIFTY,56700,CE
61854,BANKNIFTY,56700,PE
61858,BANKNIFTY,56800,CE
61862,BANKNIFTY,56800,PE
61863,BANKNIFTY,56900,CE
61864,BANKNIFTY,56900,PE
61867,BANKNIFTY,57000,CE
61868,BANKNIFTY,57000,PE
61869,BANKNIFTY,57100,CE
61870,BANKNIFTY,57100,PE
61871,BANKNIFTY,57200,CE
61872,BANKNIFTY,57200,PE
61873,BANKNIFTY,57300,CE
61874,BANKNIFTY,57300,PE
61875,BANKNIFTY,57400,CE
61876,BANKNIFTY,57400,PE
61877,BANKNIFTY,57500,CE
61878,BANKNIFTY,57500,PE
61879,BANKNIFTY,57600,CE
